#F nifilm-tof-3.dat
#D 2011-01-19 22:06:12
#C Title: Simulated 100 A Ni film
#C Detector Angle: (1.5, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
2.203739022763429381e-02 1.941100778012665108e-04 1.949325036669518896e-01 3.431527138497429859e-03 1.492686886204714014e+01
2.247813803218698045e-02 1.979922793572918270e-04 1.861979502479744475e-01 3.374735490401098870e-03 1.463418515886974447e+01
2.292770079283071999e-02 2.019521249444376700e-04 1.758263480012614288e-01 3.297519436878167381e-03 1.434724035183308111e+01
2.338625480868733453e-02 2.059911674433264435e-04 1.734416735715952063e-01 3.304314377641310620e-03 1.406592191356184429e+01
2.385397990486108274e-02 2.101109907921929788e-04 1.698515972352472037e-01 3.297419245321228393e-03 1.379011952309984679e+01
2.433105950295830211e-02 2.143132106080367809e-04 1.618122972119655778e-01 3.287307360938716144e-03 1.351972502264690945e+01
2.481768069301747148e-02 2.185994748201975767e-04 1.470294833869266737e-01 3.374912466485986435e-03 1.325463237514402870e+01
2.531403430687782091e-02 2.229714643166015012e-04 1.394990344215409073e-01 3.309144066777619866e-03 1.299473762269022359e+01
2.582031499301538219e-02 2.274308936029336564e-04 1.271115201649087867e-01 3.172846640722864521e-03 1.273993884577472713e+01
2.633672129287568942e-02 2.319795114749922385e-04 1.227016146892034865e-01 3.142176522808250248e-03 1.249013612330855594e+01
2.686345571873320279e-02 2.366191017044920832e-04 1.139705920832243119e-01 3.046538136568202170e-03 1.224523149343976058e+01
2.740072483310786525e-02 2.413514837385819336e-04 1.079006934625216241e-01 2.383230728822540150e-03 1.200512891513702129e+01
2.794873932977002054e-02 2.461785134133536064e-04 1.060458842014854880e-01 2.015476777815145178e-03 1.176973423052649181e+01
2.850771411636542074e-02 2.511020836816206156e-04 9.569688644933461996e-02 1.924591315870342921e-03 1.153895512796714939e+01
2.907786839869273138e-02 2.561241253552531310e-04 9.112505512992651047e-02 1.892782258059410834e-03 1.131270110585014521e+01
2.965942576666658753e-02 2.612466078623580765e-04 8.500897491729224320e-02 1.841168903885973462e-03 1.109088343710798519e+01
3.025261428199991706e-02 2.664715400196053714e-04 7.932406863099467076e-02 1.791525872292873542e-03 1.087341513441959329e+01
3.085766656763992005e-02 2.718009708199974647e-04 7.471691763917173712e-02 1.554453133341676153e-03 1.066021091609763971e+01
3.147481989899271471e-02 2.772369902363973695e-04 6.769524357259273928e-02 1.410595672356804295e-03 1.045118717264474562e+01
3.210431629697257233e-02 2.827817300411253863e-04 6.458440074066706948e-02 1.389484696239908033e-03 1.024626193396543528e+01
3.274640262291202142e-02 2.884373646419478789e-04 5.791367454938389780e-02 1.324694288845042244e-03 1.004535483722101574e+01
3.340133067537026657e-02 2.942061119347868332e-04 5.282002079969858044e-02 1.274607371053265671e-03 9.848387095314720341e+00
3.406935728887766635e-02 3.000902341734824528e-04 5.041974817309335943e-02 1.256266953037568808e-03 9.655281465994825396e+00
3.475074443465522162e-02 3.060920388569521571e-04 4.574425024818030289e-02 1.065634817583642913e-03 9.465962221563554380e+00
3.544575932334832757e-02 3.122138796340911938e-04 4.411492880140835404e-02 1.041297785192570524e-03 9.280355119179954926e+00
3.615467450981530578e-02 3.184581572267730838e-04 3.983479200595910902e-02 9.972901648904357926e-04 9.098387371745051411e+00
3.687776800001160704e-02 3.248273203713086094e-04 3.531682065946072091e-02 9.463147477508077445e-04 8.919987619357893749e+00
3.761532336001183890e-02 3.313238667787347914e-04 3.342509303967115819e-02 9.289323198688406594e-04 8.745085901331268730e+00
3.836762982721207693e-02 3.379503441143094232e-04 3.050077211947364170e-02 8.949276441886392860e-04 8.573613628756145744e+00
3.913498242375632041e-02 3.447093509965957299e-04 2.615966955416866579e-02 6.162703461017921165e-04 8.405503557604063758e+00
3.991768207223144599e-02 3.516035380165275165e-04 2.344033226949629803e-02 5.868159868758708163e-04 8.240689762356925741e+00
4.071603571367606728e-02 3.586356087768580777e-04 2.144941121268099243e-02 5.663762012149732312e-04 8.079107610153849706e+00
4.153035642794959681e-02 3.658083209523952674e-04 1.842863133459183775e-02 5.294205622235854600e-04 7.920693735444949368e+00
4.236096355650858375e-02 3.731244873714431847e-04 1.751765361059675133e-02 5.210723080152980828e-04 7.765386015142107468e+00
4.320818282763876084e-02 3.805869771188720115e-04 1.512810389271803009e-02 4.881380024900312331e-04 7.613123544256968245e+00
4.407234648419153938e-02 3.881987166612494680e-04 1.275728875529794255e-02 3.632702702380246761e-04 7.463846612016634907e+00
4.495379341387537031e-02 3.959626909944745040e-04 1.159554814438719730e-02 3.495804668141707034e-04 7.317496678447681369e+00
4.585286928215287494e-02 4.038819448143639301e-04 1.071166107828673379e-02 3.391877799425154828e-04 7.174016351419295390e+00
4.676992666779593300e-02 4.119595837106512564e-04 9.245821267633073243e-03 3.180310044468415273e-04 7.033349364136563864e+00
4.770532520115185887e-02 4.201987753848643249e-04 7.805510915882652584e-03 2.949085424447486542e-04 6.895440553075061985e+00
4.865943170517489369e-02 4.286027508925615496e-04 6.986925664757431126e-03 2.549982168778155522e-04 6.760235836348099880e+00
4.963262033927839240e-02 4.371748059104127579e-04 5.600312031245740022e-03 2.018619417758724132e-04 6.627682192498137503e+00
5.062527274606395955e-02 4.459183020286211431e-04 4.826687532045730901e-03 1.891933614063787442e-04 6.497727639704056202e+00
5.163777820098523763e-02 4.548366680691934652e-04 3.605845557197120792e-03 1.650520638502148065e-04 6.370321215396133496e+00
5.267053376500493989e-02 4.639334014305772878e-04 3.201900520455581121e-03 1.570485692972912117e-04 6.245412956270719462e+00
5.372394444030503813e-02 4.732120694591889247e-04 2.459243881754208990e-03 1.389537089421732864e-04 6.122953878696783647e+00
5.479842332911114000e-02 4.826763108483727834e-04 2.089800902010620007e-03 1.153347791886358314e-04 6.002895959506650669e+00
5.589439179569336696e-02 4.923298370653402282e-04 1.491170026667876453e-03 7.800279911319613654e-05 5.885192117163382974e+00
5.701227963160723777e-02 5.021764338066469742e-04 1.242560204188987091e-03 7.190374327065031498e-05 5.769796193297433540e+00
5.815252522423938059e-02 5.122199624827800633e-04 9.240658428209550185e-04 6.261454663448701803e-05 5.656662934605327209e+00
5.931557572872417361e-02 5.224643617324356082e-04 5.620694071470569561e-04 4.931060106487992979e-05 5.545747975103261673e+00
6.050188724329865625e-02 5.329136489670841578e-04 3.660368923774597722e-04 4.018512228795097414e-05 5.437007818728687880e+00
6.171192498816462785e-02 5.435719219464259580e-04 2.404745304970825302e-04 2.672260524059450883e-05 5.330399822283027333e+00
6.294616348792791971e-02 5.544433603853546463e-04 1.400806687949742357e-04 1.961659140351212352e-05 5.225882178708850745e+00
6.420508675768649143e-02 5.655322275930616850e-04 7.284194777338492315e-05 1.428600232455310368e-05 5.123413900694950840e+00
6.548918849284021682e-02 5.768428721449229491e-04 6.572584979860152186e-05 1.370523828249723909e-05 5.022954804602893120e+00
6.679897226269702892e-02 5.883797295878214579e-04 4.955157545685837383e-05 1.201832110751762797e-05 4.924465494708718083e+00
6.813495170795096090e-02 6.001473241795776984e-04 4.990739318819251656e-05 1.176357982465401615e-05 4.827907347753646050e+00
6.949765074210997873e-02 6.121502706631692849e-04 7.605859247222625046e-05 1.250443143322699474e-05 4.733242497797691684e+00
7.088760375695218885e-02 6.243932760764327617e-04 1.006440185794650274e-04 1.452744411704370846e-05 4.640433821370285372e+00
7.230535583209123096e-02 6.368811415979613866e-04 1.368758652680736147e-04 1.711065434195335654e-05 4.549444922912044831e+00
7.375146294873305419e-02 6.496187644299206490e-04 2.072386147574405613e-04 2.126443655356722662e-05 4.460240120502004579e+00
7.522649220770771805e-02 6.626111397185189969e-04 2.536600644631112887e-04 2.376045493197374470e-05 4.372784431864710442e+00
7.673102205186187186e-02 6.758633625128894614e-04 3.612470960317355480e-04 2.723494251060123940e-05 4.287043560651676799e+00
7.826564249289912067e-02 6.893806297631475174e-04 3.591956577655932193e-04 2.166420299525653409e-05 4.202983882991839337e+00
7.983095534275710947e-02 7.031682423584102509e-04 3.956899365945853206e-04 2.296480105645279791e-05 4.120572434305724840e+00
8.142757444961223889e-02 7.172316072055784928e-04 5.136774813246040156e-04 2.642750376321687094e-05 4.039776896378161730e+00
8.305612593860449422e-02 7.315762393496899737e-04 4.837537296347435892e-04 2.590100609755466285e-05 3.960565584684472284e+00
8.471724845737657605e-02 7.462077641366839749e-04 4.990841486884971777e-04 2.657019687825512130e-05 3.882907435965169185e+00
8.641159342652411646e-02 7.611319194194175134e-04 4.848184385161312632e-04 2.418640685009333739e-05 3.806771996044282957e+00
8.813982529505459684e-02 7.763545578078060632e-04 5.459463175723763351e-04 2.497781885085183852e-05 3.732129407886552119e+00
8.990262180095567879e-02 7.918816489639621346e-04 5.044406916715796999e-04 2.424798614454825340e-05 3.658950399888776683e+00
9.170067423697479680e-02 8.077192819432412515e-04 5.097763461008063051e-04 2.461850651895833476e-05 3.587206274400761341e+00
9.353468772171430468e-02 8.238736675821061632e-04 4.436123671942983717e-04 2.319313259924265811e-05 3.516868896471334605e+00
9.540538147614857634e-02 8.403511409337483190e-04 4.759742529978172967e-04 2.426366654235776751e-05 3.447910682815034100e+00
9.731348910567157173e-02 8.571581637524231965e-04 4.007110123964328311e-04 2.124189586750929826e-05 3.380304590995130809e+00
9.925975888778500178e-02 8.743013270274716886e-04 3.769981655179454575e-04 1.703425114279003919e-05 3.314024108818755643e+00
1.012449540655406960e-01 8.917873535680211116e-04 3.280345670412900048e-04 1.604732654370683619e-05 3.249043243939956582e+00
1.032698531468515118e-01 9.096231006393815143e-04 2.905695664897336647e-04 1.525316262561152240e-05 3.185336513666624292e+00
1.053352502097885390e-01 9.278155626521693419e-04 2.457594168145392803e-04 1.416707783604262600e-05 3.122878934967278752e+00
1.074419552139843220e-01 9.463718739052126225e-04 2.007062453200973652e-04 1.292992317350877432e-05 3.061646014673802263e+00
1.095907943182640176e-01 9.652993113833170007e-04 1.395461894936919731e-04 9.473673554092109774e-06 3.001613739876276554e+00
1.117826102046292902e-01 9.846052976109831087e-04 1.188644908208815701e-04 8.716085313998489905e-06 2.942758568506153694e+00
1.140182624087218710e-01 1.004297403563202953e-03 8.082785375819939505e-05 7.258848903091712397e-06 2.885057420104072179e+00
1.162986276568963168e-01 1.024383351634467225e-03 5.651431387770854787e-05 6.130011224719513643e-06 2.828487666768698006e+00
1.186246002100342506e-01 1.044871018667156530e-03 3.119590126049505570e-05 4.599656483303049743e-06 2.773027124283037104e+00
1.209970922142349359e-01 1.065768439040499626e-03 1.517672555559401780e-05 3.235713364602286147e-06 2.718654043414742372e+00
1.234170340585196285e-01 1.087083807821309384e-03 9.576515579792053306e-06 2.257217210288094251e-06 2.665347101387002482e+00
1.258853747396900258e-01 1.108825483977735841e-03 4.341353729505683568e-06 1.534903714659344038e-06 2.613085393516668908e+00
1.284030822344838230e-01 1.131001993657290532e-03 5.535226005119745638e-07 5.535229068991589868e-07 2.561848425016342023e+00
1.309711438791735238e-01 1.153622033530436221e-03 3.387558315133305261e-06 1.382967298502525901e-06 2.511616102957197949e+00
1.335905667567569843e-01 1.176694474201045448e-03 9.790043530735247901e-06 2.374445989956521212e-06 2.462368728389409789e+00
1.362623780918921224e-01 1.200228363685066019e-03 1.522404869437302916e-05 2.929891870030135784e-06 2.414086988617068386e+00
1.389876256537299626e-01 1.224232930958767118e-03 2.396538980398213098e-05 3.612961766166133629e-06 2.366751949624577023e+00
1.417673781668045974e-01 1.248717589577943207e-03 2.722250414552321811e-05 3.888982118527086673e-06 2.320345048651545561e+00
1.446027257301406854e-01 1.273691941369501854e-03 3.456702465172376693e-05 4.425930499168181824e-06 2.274848086913280110e+00
1.474947802447434952e-01 1.299165780196891813e-03 2.890029929898205665e-05 4.087178605211694514e-06 2.230243222463999864e+00
1.504446758496383596e-01 1.325149095800829367e-03 3.773223076475138045e-05 4.716617849055818337e-06 2.186512963200000215e+00
1.534535693666310985e-01 1.351652077716845824e-03 4.386771998765890090e-05 5.399861522243053281e-06 2.143640160000000350e+00
1.565226407539637432e-01 1.378685119271183144e-03 4.436830360063260951e-05 5.590004866208046033e-06 2.101608000000000143e+00
1.596530935690430308e-01 1.406258821656606759e-03 4.094560589429845987e-05 5.423489053448906108e-06 2.060400000000000009e+00
1.628461554404238842e-01 1.434383998089738908e-03 3.517012043131311915e-05 5.076458930837418600e-06 2.020000000000000018e+00
