#F nifilm-tof-4.dat
#D 2011-01-19 22:06:12
#C Title: Simulated 100 A Ni film
#C Detector Angle: (3, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
4.405967712879876874e-02 3.880635615199675825e-04 1.268541842828591580e-02 1.326804523455271754e-04 1.492686886204714014e+01
4.494087067137474828e-02 3.958248327503670057e-04 1.173984292608368923e-02 1.288495547774550940e-04 1.463418515886974447e+01
4.583968808480225199e-02 4.037413294053742840e-04 1.022385306529403730e-02 1.213482583302496928e-04 1.434724035183308111e+01
4.675648184649829064e-02 4.118161559934818195e-04 8.844666549990384125e-03 1.139122441067248813e-04 1.406592191356184429e+01
4.769161148342826451e-02 4.200524791133513920e-04 7.648004397629934101e-03 1.069168362750504066e-04 1.379011952309984679e+01
4.864544371309682119e-02 4.284535286956184523e-04 6.351182573970490415e-03 9.979580607030223770e-05 1.351972502264690945e+01
4.961835258735876331e-02 4.370225992695307726e-04 5.290919363188931017e-03 9.867976379280684208e-05 1.325463237514402870e+01
5.061071963910594024e-02 4.457630512549214303e-04 4.787970793135167685e-03 9.478283528253441152e-05 1.299473762269022359e+01
5.162293403188806390e-02 4.546783122800200118e-04 3.815176134408265318e-03 8.540848079626976047e-05 1.273993884577472713e+01
5.265539271252582532e-02 4.637718785256203903e-04 2.933666641146069533e-03 7.560637119213874709e-05 1.249013612330855594e+01
5.370850056677634043e-02 4.730473160961326529e-04 2.469175899049939633e-03 7.003715922046986435e-05 1.224523149343976058e+01
5.478267057811186252e-02 4.825082624180554208e-04 1.948647691502368136e-03 5.014603451228785447e-05 1.200512891513702129e+01
5.587832398967410019e-02 4.921584276664165217e-04 1.491762982474649371e-03 3.745084046162578702e-05 1.176973423052649181e+01
5.699589046946758331e-02 5.020015962197447654e-04 1.147183570839984410e-03 3.316297433574577749e-05 1.153895512796714939e+01
5.813580827885694163e-02 5.120416281441398645e-04 8.800372665052977198e-04 2.933118990573393094e-05 1.131270110585014521e+01
5.929852444443407811e-02 5.222824607070225512e-04 5.868022075150464709e-04 2.418585679332980608e-05 1.109088343710798519e+01
6.048449493332275911e-02 5.327281099211630998e-04 4.125747541190689731e-04 2.047996472478453965e-05 1.087341513441959329e+01
6.169418483198921971e-02 5.433826721195863553e-04 2.455251703285760774e-04 1.415357277672336257e-05 1.066021091609763971e+01
6.292806852862900535e-02 5.542503255619780390e-04 1.596984487186869103e-04 1.091763289032513271e-05 1.045118717264474562e+01
6.418662989920158324e-02 5.653353320732176996e-04 7.383441362722739730e-05 7.497025656462859741e-06 1.024626193396543528e+01
6.547036249718561629e-02 5.766420387146819993e-04 4.192576806791476640e-05 5.705494020899414056e-06 1.004535483722101574e+01
6.677976974712933333e-02 5.881748794889756892e-04 3.959655873080792255e-05 5.599909947675096411e-06 9.848387095314720341e+00
6.811536514207190696e-02 5.999383770787549948e-04 4.604287849218394293e-05 6.098668676023805891e-06 9.655281465994825396e+00
6.947767244491334648e-02 6.119371446203301489e-04 7.014045758843430965e-05 6.718473019385492940e-06 9.465962221563554380e+00
7.086722589381161397e-02 6.241758875127367302e-04 1.084806341128750472e-04 8.320536120669268630e-06 9.280355119179954926e+00
7.228457041168787067e-02 6.366594052629918161e-04 1.802948138955987902e-04 1.083384199994567071e-05 9.098387371745051411e+00
7.373026181992162198e-02 6.493925933682516069e-04 1.998343457120113707e-04 1.151941102686642170e-05 8.919987619357893749e+00
7.520486705632005442e-02 6.623804452356164526e-04 2.762892402375780238e-04 1.368024509069665897e-05 8.745085901331268730e+00
7.670896439744645523e-02 6.756280541403288879e-04 3.046088873619270422e-04 1.450739415976933111e-05 8.573613628756145744e+00
7.824314368539539433e-02 6.891406152231356521e-04 3.758449471289534603e-04 1.200818241350529508e-05 8.405503557604063758e+00
7.980800655910329222e-02 7.029234275275982220e-04 4.315155223707733100e-04 1.296057685887345674e-05 8.240689762356925741e+00
8.140416669028535668e-02 7.169818960781501561e-04 4.691184620298424215e-04 1.364820793573254175e-05 8.079107610153849706e+00
