# Q dQ R dR fit
0.0115434 0.000153789 1.00392 0.145749 0.973164
0.0117742 0.000155046 0.998947 0.14349 0.971735
0.0120051 0.000156318 0.974506 0.138578 0.977725
0.012236 0.000157604 0.987595 0.139047 0.984727
0.0124668 0.000158904 1.00681 0.140395 0.988392
0.0126977 0.000160217 1.01294 0.139946 0.990613
0.0129286 0.000161543 0.998614 0.136734 0.992231
0.0131594 0.000162882 0.99216 0.134672 0.993336
0.0133903 0.000164234 0.992532 0.13361 0.994008
0.0136211 0.000165598 1.00635 0.13438 0.994341
0.013852 0.000166973 1.00324 0.132902 0.994411
0.0140829 0.000168361 0.977066 0.128485 0.99427
0.0143137 0.000169759 1.03665 0.135275 0.993962
0.0145446 0.000171169 1.0182 0.131952 0.993536
0.0147755 0.000172589 1.00083 0.128813 0.993067
0.0150063 0.00017402 1.02411 0.130916 0.992665
0.0152372 0.000175461 0.950771 0.120804 0.992448
0.0154681 0.000177578 1.01063 0.12758 0.992497
0.0156989 0.000180228 0.989951 0.124223 0.992807
0.0159298 0.000182878 1.00746 0.125668 0.993292
0.0161607 0.000185529 1.02419 0.12702 0.993834
0.0163915 0.000188179 1.01285 0.124917 0.994331
0.0166224 0.000190829 0.968021 0.118774 0.994713
0.0168532 0.00019348 0.875914 0.106981 0.993991
0.0170841 0.00019613 0.741806 0.090254 0.974774
0.017315 0.00019878 0.564789 0.0685453 0.865212
0.0175458 0.000201431 0.449942 0.0544898 0.652008
0.0177767 0.000204081 0.357427 0.0432313 0.468269
0.0180076 0.000206731 0.301208 0.0363642 0.356061
0.0182384 0.000209382 0.258748 0.0312034 0.279198
0.0184693 0.000212032 0.194624 0.0235242 0.21952
0.0187001 0.000214682 0.155309 0.0188252 0.172144
0.018931 0.000217333 0.137551 0.0166756 0.135283
0.0191619 0.000219983 0.145204 0.0175062 0.107791
0.0193927 0.000222633 0.139434 0.0167715 0.0885071
0.0196236 0.000225284 0.111032 0.0134219 0.0760869
0.0198545 0.000227934 0.0918096 0.0111659 0.0690339
0.0200853 0.000230584 0.0789054 0.0096445 0.0658187
0.0203162 0.000233234 0.0868226 0.0105033 0.0650071
0.020547 0.000235885 0.0852072 0.0102886 0.0653588
0.0207779 0.000238535 0.0899714 0.0107967 0.0658853
0.0210088 0.000241185 0.0707549 0.00858923 0.0658684
0.0212396 0.000243835 0.0568923 0.00699336 0.0648512
0.0214705 0.000246486 0.061005 0.00743112 0.0626128
0.0217013 0.000249136 0.0690018 0.00830214 0.0591317
0.0219322 0.000251786 0.066155 0.00795992 0.0545553
0.0221631 0.000254437 0.0694254 0.0083112 0.0491499
0.0223939 0.000257087 0.0497527 0.00609065 0.0432666
0.0226248 0.000259737 0.0479877 0.00586465 0.0372981
0.0228556 0.000262387 0.048132 0.005876 0.0316373
0.0230865 0.000265038 0.0544458 0.00627624 0.0266382
0.0233174 0.000267688 0.0578022 0.00688823 0.022583
0.0235482 0.000270338 0.0496776 0.00596929 0.0196567
0.0237791 0.000272988 0.0389894 0.0047656 0.0179345
0.0240099 0.000275638 0.036665 0.00448207 0.0173813
0.0242408 0.000278289 0.0376901 0.00458041 0.0178629
0.0244717 0.000280939 0.0462637 0.00548299 0.0191676
0.0247025 0.000283589 0.0462477 0.00545881 0.021033
0.0249334 0.000286239 0.0395195 0.00470664 0.0231746
0.0251642 0.00028889 0.0368406 0.00439751 0.0253134
0.0253951 0.00029154 0.026095 0.00321429 0.0271986
0.0256259 0.00029419 0.0306403 0.00368982 0.0286251
0.0258568 0.00029684 0.0300868 0.00361325 0.0294445
0.0260877 0.00029949 0.0327703 0.00388797 0.0295708
0.0263185 0.00030214 0.0268177 0.00323313 0.0289803
0.0265494 0.000304791 0.0206681 0.00255543 0.0277075
0.0267802 0.000307441 0.0174715 0.00221017 0.0258377
0.0270111 0.000310091 0.0175839 0.00220997 0.0234961
0.0272419 0.000312741 0.0194948 0.00241302 0.0208353
0.0274728 0.000315391 0.0201127 0.00247375 0.0180236
0.0277036 0.000318041 0.0194526 0.00239851 0.0152275
0.0279345 0.000320692 0.0152026 0.0019342 0.0126012
0.0281654 0.000323342 0.0119467 0.00157249 0.0102741
0.0283962 0.000325992 0.0127419 0.0016531 0.00834256
0.0286271 0.000328642 0.0146609 0.00186041 0.00686407
0.0288579 0.000331292 0.0128637 0.00165988 0.00585572
0.0290888 0.000333942 0.0115571 0.00151139 0.00529627
0.0293196 0.000336592 0.0117004 0.00152423 0.00513151
0.0295505 0.000339243 0.0102153 0.00135983 0.00528212
0.0297813 0.000341893 0.00940574 0.00126242 0.00565298
0.0300122 0.000344543 0.00990765 0.00131724 0.00614305
0.030243 0.000347193 0.0101575 0.00134593 0.0066547
0.0304739 0.000349843 0.00971022 0.0012866 0.00710175
0.0307047 0.000352493 0.0097149 0.00128724 0.00741575
0.0309356 0.000355143 0.00895589 0.00119902 0.00755011
0.0311665 0.000357793 0.00889325 0.00118922 0.00748196
0.0313973 0.000360443 0.00931128 0.00123111 0.00721191
