# z rho mu P theta
-10 0 0 0 270
0 0 0 0 270
0 4.30981e-06 7.14337e-09 0 270
0.0812019 4.30981e-06 7.14337e-09 0 270
0.0812019 4.2958e-06 7.13846e-09 0 270
0.243606 4.2958e-06 7.13846e-09 0 270
0.243606 4.27489e-06 7.13114e-09 0 270
0.406009 4.27489e-06 7.13114e-09 0 270
0.406009 4.25122e-06 7.12285e-09 0 270
0.568413 4.25122e-06 7.12285e-09 0 270
0.568413 4.22453e-06 7.11351e-09 0 270
0.730817 4.22453e-06 7.11351e-09 0 270
0.730817 4.19458e-06 7.10302e-09 0 270
0.89322 4.19458e-06 7.10302e-09 0 270
0.89322 4.16112e-06 7.0913e-09 0 270
1.05562 4.16112e-06 7.0913e-09 0 270
1.05562 4.1239e-06 7.07827e-09 0 270
1.21803 4.1239e-06 7.07827e-09 0 270
1.21803 4.08268e-06 7.06384e-09 0 270
1.38043 4.08268e-06 7.06384e-09 0 270
1.38043 4.03723e-06 7.04792e-09 0 270
1.54284 4.03723e-06 7.04792e-09 0 270
1.54284 3.98735e-06 7.03046e-09 0 270
1.70524 3.98735e-06 7.03046e-09 0 270
1.70524 3.93283e-06 7.01137e-09 0 270
1.86764 3.93283e-06 7.01137e-09 0 270
1.86764 3.87353e-06 6.9906e-09 0 270
2.03005 3.87353e-06 6.9906e-09 0 270
2.03005 3.80929e-06 6.96811e-09 0 270
2.19245 3.80929e-06 6.96811e-09 0 270
2.19245 3.74002e-06 6.94386e-09 0 270
2.35485 3.74002e-06 6.94386e-09 0 270
2.35485 3.66565e-06 6.91782e-09 0 270
2.51726 3.66565e-06 6.91782e-09 0 270
2.51726 3.58617e-06 6.88999e-09 0 270
2.67966 3.58617e-06 6.88999e-09 0 270
2.67966 3.50159e-06 6.86037e-09 0 270
2.84207 3.50159e-06 6.86037e-09 0 270
2.84207 3.41199e-06 6.829e-09 0 270
3.00447 3.41199e-06 6.829e-09 0 270
3.00447 3.31749e-06 6.79591e-09 0 270
3.16687 3.31749e-06 6.79591e-09 0 270
3.16687 3.21827e-06 6.76117e-09 0 270
3.32928 3.21827e-06 6.76117e-09 0 270
3.32928 3.11454e-06 6.72485e-09 0 270
3.49168 3.11454e-06 6.72485e-09 0 270
3.49168 3.00659e-06 6.68705e-09 0 270
3.65408 3.00659e-06 6.68705e-09 0 270
3.65408 2.89474e-06 6.64789e-09 0 270
3.81649 2.89474e-06 6.64789e-09 0 270
3.81649 2.77936e-06 6.60749e-09 0 270
3.97889 2.77936e-06 6.60749e-09 0 270
3.97889 2.66087e-06 6.566e-09 0 270
4.14129 2.66087e-06 6.566e-09 0 270
4.14129 2.53972e-06 6.52358e-09 0 270
4.3037 2.53972e-06 6.52358e-09 0 270
4.3037 2.4164e-06 6.4804e-09 0 270
4.4661 2.4164e-06 6.4804e-09 0 270
4.4661 2.29143e-06 6.43664e-09 0 270
4.62851 2.29143e-06 6.43664e-09 0 270
4.62851 2.16534e-06 6.39249e-09 0 270
4.79091 2.16534e-06 6.39249e-09 0 270
4.79091 2.07038e-06 6.35924e-09 0 270
4.87211 2.07038e-06 6.35924e-09 0 270
4.87211 2.00904e-06 6.33777e-09 0 270
4.94811 2.00904e-06 6.33777e-09 0 270
4.94811 1.92015e-06 6.30664e-09 0 270
5.10011 1.92015e-06 6.30664e-09 0 270
5.10011 1.80207e-06 6.2653e-09 0 270
5.25211 1.80207e-06 6.2653e-09 0 270
5.25211 1.6849e-06 6.22427e-09 0 270
5.40411 1.6849e-06 6.22427e-09 0 270
5.40411 1.56909e-06 6.18372e-09 0 270
5.55611 1.56909e-06 6.18372e-09 0 270
